step,aaa-uninformed_num,aaa-uninformed_coverage,aaa-disinformed_num,aaa-disinformed_coverage,aaa-informed_num,aaa-informed_coverage,aaa-informing_num,aaa-informing_coverage,aaa-disinforming_num,aaa-disinforming_coverage
47,2834,0.7355307552556449,957,0.24837788736049832,1,2.595380223202699E-4,1,2.595380223202699E-4,60,0.015572281339216195
48,2793,0.7248896963405139,1006,0.2610952504541915,2,5.190760446405398E-4,,,52,0.013495977160654036
49,2757,0.7155463275369842,1034,0.2683623150791591,2,5.190760446405398E-4,,,60,0.015572281339216195
50,2698,0.7002335842200882,1102,0.28601090059693746,2,5.190760446405398E-4,,,51,0.013236439138333765
51,2664,0.6914092914611991,1113,0.28886581884246043,2,5.190760446405398E-4,,,74,0.019205813651699974
52,2603,0.6755774720996626,1188,0.3083311705164807,2,5.190760446405398E-4,,,60,0.015572281339216195
53,2561,0.6646768751622113,1220,0.3166363872307293,2,5.190760446405398E-4,,,70,0.018167661562418894
54,2522,0.6545548922917207,1260,0.3270179081235401,2,5.190760446405398E-4,,,69,0.017908123540098624
55,2482,0.64417337139891,1301,0.33765896703867115,2,5.190760446405398E-4,,,68,0.017648585517778353
56,2448,0.6353490786400208,1342,0.3483000259538022,2,5.190760446405398E-4,,,61,0.015831819361536464
57,2407,0.6247080197248897,1377,0.35738385673501166,2,5.190760446405398E-4,,,67,0.017389047495458086
58,2352,0.6104334284972749,1428,0.37062029587334544,1,2.595380223202699E-4,1,2.595380223202699E-4,71,0.018427199584739165
