step,information-uninformed_num,information-uninformed_coverage,information-informed_num,information-informed_coverage,information-disinformed_num,information-disinformed_coverage,information-informing_num,information-informing_coverage,information-disinforming_num,information-disinforming_coverage
140,534,0.534,367,0.367,89,0.089,10,0.01,,
141,532,0.532,374,0.374,87,0.087,5,0.005,2,0.002
142,527,0.527,376,0.376,89,0.089,7,0.007,1,0.001
143,521,0.521,380,0.38,90,0.09,8,0.008,1,0.001
144,515,0.515,383,0.383,93,0.093,9,0.009,,
145,511,0.511,382,0.382,92,0.092,14,0.014,1,0.001
146,507,0.507,395,0.395,92,0.092,5,0.005,1,0.001
147,501,0.501,399,0.399,93,0.093,6,0.006,1,0.001
148,498,0.498,403,0.403,93,0.093,5,0.005,1,0.001
149,497,0.497,402,0.402,94,0.094,7,0.007,,
150,493,0.493,404,0.404,93,0.093,9,0.009,1,0.001
151,487,0.487,415,0.415,93,0.093,3,0.003,2,0.002
152,487,0.487,411,0.411,94,0.094,7,0.007,1,0.001
153,485,0.485,411,0.411,93,0.093,8,0.008,3,0.003
154,481,0.481,413,0.413,98,0.098,8,0.008,,
155,476,0.476,419,0.419,98,0.098,7,0.007,,
156,473,0.473,419,0.419,96,0.096,10,0.01,2,0.002
157,467,0.467,427,0.427,97,0.097,7,0.007,2,0.002
158,465,0.465,427,0.427,100,0.1,8,0.008,,
159,461,0.461,431,0.431,100,0.1,8,0.008,,
160,454,0.454,439,0.439,100,0.1,7,0.007,,
161,452,0.452,443,0.443,99,0.099,5,0.005,1,0.001
162,451,0.451,439,0.439,101,0.101,9,0.009,,
163,449,0.449,442,0.442,101,0.101,8,0.008,,
164,448,0.448,444,0.444,98,0.098,7,0.007,3,0.003
165,447,0.447,444,0.444,101,0.101,8,0.008,,
166,442,0.442,451,0.451,101,0.101,6,0.006,,
167,441,0.441,448,0.448,99,0.099,10,0.01,2,0.002
168,438,0.438,457,0.457,97,0.097,4,0.004,4,0.004
169,434,0.434,450,0.45,103,0.103,11,0.011,2,0.002
170,430,0.43,459,0.459,105,0.105,6,0.006,,
171,426,0.426,458,0.458,104,0.104,11,0.011,1,0.001
172,424,0.424,465,0.465,105,0.105,6,0.006,,
173,422,0.422,467,0.467,103,0.103,7,0.007,1,0.001
174,417,0.417,470,0.47,103,0.103,9,0.009,1,0.001
175,414,0.414,471,0.471,103,0.103,10,0.01,2,0.002
176,409,0.409,477,0.477,106,0.106,8,0.008,,
177,408,0.408,484,0.484,105,0.105,2,0.002,1,0.001
178,407,0.407,481,0.481,105,0.105,5,0.005,2,0.002
179,404,0.404,483,0.483,107,0.107,5,0.005,1,0.001
180,403,0.403,483,0.483,108,0.108,6,0.006,,
181,403,0.403,477,0.477,107,0.107,12,0.012,1,0.001
182,396,0.396,487,0.487,107,0.107,9,0.009,1,0.001
183,388,0.388,498,0.498,108,0.108,4,0.004,2,0.002
184,385,0.385,496,0.496,112,0.112,7,0.007,,
185,384,0.384,496,0.496,110,0.11,8,0.008,2,0.002
186,380,0.38,499,0.499,110,0.11,8,0.008,3,0.003
187,373,0.373,507,0.507,115,0.115,5,0.005,,
188,372,0.372,509,0.509,114,0.114,4,0.004,1,0.001
189,369,0.369,509,0.509,114,0.114,7,0.007,1,0.001
190,366,0.366,508,0.508,115,0.115,9,0.009,2,0.002
191,365,0.365,511,0.511,117,0.117,6,0.006,1,0.001
192,361,0.361,510,0.51,118,0.118,11,0.011,,
193,358,0.358,518,0.518,118,0.118,6,0.006,,
194,356,0.356,520,0.52,117,0.117,6,0.006,1,0.001
195,353,0.353,522,0.522,118,0.118,7,0.007,,
196,351,0.351,526,0.526,116,0.116,6,0.006,1,0.001
